/Users/cuing/Desktop/pytorch-cifar100/.venv/lib/python3.12/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Using device: mps
Training Epoch: 1 [10624/50000]	Loss: 4.4497	LR: 0.020972
Training Epoch: 1 [10752/50000]	Loss: 4.5276	LR: 0.021228
Training Epoch: 1 [10880/50000]	Loss: 4.4987	LR: 0.021483
Training Epoch: 1 [11008/50000]	Loss: 4.4568	LR: 0.021739
Training Epoch: 1 [11136/50000]	Loss: 4.4274	LR: 0.021995
Training Epoch: 1 [11264/50000]	Loss: 4.4395	LR: 0.022251
Training Epoch: 1 [11392/50000]	Loss: 4.5213	LR: 0.022506
Training Epoch: 1 [11520/50000]	Loss: 4.5321	LR: 0.022762
Training Epoch: 1 [11648/50000]	Loss: 4.3778	LR: 0.023018
Training Epoch: 1 [11776/50000]	Loss: 4.3914	LR: 0.023274
Training Epoch: 1 [11904/50000]	Loss: 4.4048	LR: 0.023529
Training Epoch: 1 [12032/50000]	Loss: 4.3878	LR: 0.023785
Training Epoch: 1 [12160/50000]	Loss: 4.5291	LR: 0.024041
Training Epoch: 1 [12288/50000]	Loss: 4.4416	LR: 0.024297
Training Epoch: 1 [12416/50000]	Loss: 4.4468	LR: 0.024552
Training Epoch: 1 [12544/50000]	Loss: 4.4797	LR: 0.024808
Training Epoch: 1 [12672/50000]	Loss: 4.3975	LR: 0.025064
Training Epoch: 1 [12800/50000]	Loss: 4.4496	LR: 0.025320
Training Epoch: 1 [12928/50000]	Loss: 4.4156	LR: 0.025575
Training Epoch: 1 [13056/50000]	Loss: 4.4378	LR: 0.025831
Training Epoch: 1 [13184/50000]	Loss: 4.3898	LR: 0.026087
Training Epoch: 1 [13312/50000]	Loss: 4.4067	LR: 0.026343
Training Epoch: 1 [13440/50000]	Loss: 4.4307	LR: 0.026598
Training Epoch: 1 [13568/50000]	Loss: 4.4163	LR: 0.026854
Training Epoch: 1 [13696/50000]	Loss: 4.2867	LR: 0.027110
Training Epoch: 1 [13824/50000]	Loss: 4.4035	LR: 0.027366
Training Epoch: 1 [13952/50000]	Loss: 4.3888	LR: 0.027621
Training Epoch: 1 [14080/50000]	Loss: 4.4617	LR: 0.027877
Training Epoch: 1 [14208/50000]	Loss: 4.3886	LR: 0.028133
Training Epoch: 1 [14336/50000]	Loss: 4.3613	LR: 0.028389
Training Epoch: 1 [14464/50000]	Loss: 4.4348	LR: 0.028645
Training Epoch: 1 [14592/50000]	Loss: 4.2986	LR: 0.028900
Training Epoch: 1 [14720/50000]	Loss: 4.4108	LR: 0.029156
Training Epoch: 1 [14848/50000]	Loss: 4.4543	LR: 0.029412
Training Epoch: 1 [14976/50000]	Loss: 4.4415	LR: 0.029668
Training Epoch: 1 [15104/50000]	Loss: 4.3771	LR: 0.029923
Training Epoch: 1 [15232/50000]	Loss: 4.3061	LR: 0.030179
Training Epoch: 1 [15360/50000]	Loss: 4.4341	LR: 0.030435
Training Epoch: 1 [15488/50000]	Loss: 4.4187	LR: 0.030691
Training Epoch: 1 [15616/50000]	Loss: 4.3135	LR: 0.030946
Training Epoch: 1 [15744/50000]	Loss: 4.3823	LR: 0.031202
Training Epoch: 1 [15872/50000]	Loss: 4.3599	LR: 0.031458
Training Epoch: 1 [16000/50000]	Loss: 4.2571	LR: 0.031714
Training Epoch: 1 [16128/50000]	Loss: 4.3493	LR: 0.031969
Training Epoch: 1 [16256/50000]	Loss: 4.3190	LR: 0.032225
Training Epoch: 1 [16384/50000]	Loss: 4.4000	LR: 0.032481
Training Epoch: 1 [16512/50000]	Loss: 4.3572	LR: 0.032737
Training Epoch: 1 [16640/50000]	Loss: 4.4087	LR: 0.032992
Training Epoch: 1 [16768/50000]	Loss: 4.3701	LR: 0.033248
Training Epoch: 1 [16896/50000]	Loss: 4.2911	LR: 0.033504
Training Epoch: 1 [17024/50000]	Loss: 4.2484	LR: 0.033760
Training Epoch: 1 [17152/50000]	Loss: 4.4887	LR: 0.034015
Training Epoch: 1 [17280/50000]	Loss: 4.2550	LR: 0.034271
Training Epoch: 1 [17408/50000]	Loss: 4.2932	LR: 0.034527
Training Epoch: 1 [17536/50000]	Loss: 4.2837	LR: 0.034783
Training Epoch: 1 [17664/50000]	Loss: 4.2853	LR: 0.035038
Training Epoch: 1 [17792/50000]	Loss: 4.3357	LR: 0.035294
Training Epoch: 1 [17920/50000]	Loss: 4.4595	LR: 0.035550
Training Epoch: 1 [18048/50000]	Loss: 4.2680	LR: 0.035806
Training Epoch: 1 [18176/50000]	Loss: 4.2442	LR: 0.036061
Training Epoch: 1 [18304/50000]	Loss: 4.2924	LR: 0.036317
Training Epoch: 1 [18432/50000]	Loss: 4.2906	LR: 0.036573
Training Epoch: 1 [18560/50000]	Loss: 4.3576	LR: 0.036829
Training Epoch: 1 [18688/50000]	Loss: 4.3476	LR: 0.037084
Training Epoch: 1 [18816/50000]	Loss: 4.2867	LR: 0.037340
Training Epoch: 1 [18944/50000]	Loss: 4.2436	LR: 0.037596
Training Epoch: 1 [19072/50000]	Loss: 4.4034	LR: 0.037852
Training Epoch: 1 [19200/50000]	Loss: 4.4385	LR: 0.038107
Training Epoch: 1 [19328/50000]	Loss: 4.2393	LR: 0.038363
Training Epoch: 1 [19456/50000]	Loss: 4.4129	LR: 0.038619
Training Epoch: 1 [19584/50000]	Loss: 4.2958	LR: 0.038875
Training Epoch: 1 [19712/50000]	Loss: 4.2654	LR: 0.039130
Training Epoch: 1 [19840/50000]	Loss: 4.3209	LR: 0.039386
